Name,Club,Nat,Height,Weight,Age,CA,PA,Acc,Agi,Bal,Jum,Nat.1,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,role_cluster,cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,pc1,pc2
Harry Kane,FC Bayern,ENG,188,86,29,184,185,-0.7237242132584503,-0.7237242132584503,0.1352012266526772,0.1352012266526772,0.4215097066230531,-0.1511072533176986,0.4215097066230531,0.1352012266526772,-1.0100326932288262,0.1352012266526772,-0.1511072533176986,0.9941266665638048,0.1352012266526772,0.9941266665638048,1.2804351465341808,-0.7237242132584503,0.4215097066230531,0.707818186593429,-1.8689581331399536,0.9941266665638048,1.2804351465341808,0.4215097066230531,-1.582649653169578,0.1352012266526772,-0.1511072533176986,1.2804351465341808,0.1352012266526772,-1.0100326932288262,0.4215097066230531,0.1352012266526772,-2.441575093080705,-1.8689581331399536,0.9941266665638048,1.5667436265045565,-1.582649653169578,0.707818186593429,1,0.08275019413209495,0.7945112946462193,7.965136065847333e-08,0.07201986233503771,0.05071856923528748,1.9771186635728162,1.3601075504278746
Jude Bellingham,R. Madrid,ENG,186,75,20,177,188,0.0523557544149891,0.0523557544149891,-0.3246056773729318,-1.0785285409487737,0.4293171862029101,-0.3246056773729318,0.4293171862029101,-0.7015671091608527,0.8062786179908311,0.4293171862029101,0.8062786179908311,0.8062786179908311,-0.3246056773729318,0.0523557544149891,1.937162913354594,1.183240049778752,0.8062786179908311,0.8062786179908311,-1.0785285409487737,0.4293171862029101,0.4293171862029101,1.183240049778752,-1.4554899727366948,-1.0785285409487737,0.8062786179908311,0.4293171862029101,0.4293171862029101,-1.4554899727366948,-0.3246056773729318,-0.7015671091608527,-3.3402971316762997,-1.0785285409487737,0.8062786179908311,-0.7015671091608527,0.0523557544149891,0.8062786179908311,3,0.3602620108645462,0.06698433612695841,0.00019893933500293831,0.5517214767584252,0.020833236915067558,0.6568750388613906,-0.6804418168558298
Joshua Kimmich,FC Bayern,GER,177,75,28,174,183,-0.8670168470441731,-0.8670168470441731,-0.5202101082265039,-1.5606303246795117,1.907437063497181,-0.8670168470441731,1.5606303246795117,-1.2138235858618425,0.1734033694088346,0.1734033694088346,-0.1734033694088346,0.8670168470441731,-0.5202101082265039,-0.1734033694088346,1.907437063497181,-0.5202101082265039,0.5202101082265039,-0.8670168470441731,-0.8670168470441731,1.2138235858618425,1.2138235858618425,1.907437063497181,0.1734033694088346,0.5202101082265039,-0.8670168470441731,-1.5606303246795117,0.5202101082265039,0.1734033694088346,-1.5606303246795117,0.1734033694088346,-0.1734033694088346,-0.8670168470441731,1.2138235858618425,-0.1734033694088346,-0.5202101082265039,0.5202101082265039,0,0.6319327298521337,0.18012252218274544,0.00032424525108811294,0.18642660246224507,0.0011939002517880623,0.276599972388878,0.7013796454146237
Leroy Sané,FC Bayern,GER,183,80,27,169,172,1.2036394991102888,0.8896465862989091,0.5756536734875295,-0.6803179777579891,0.2616607606761499,1.5176324119216684,-0.0523321521352297,-0.6803179777579891,-0.0523321521352297,0.5756536734875295,-0.6803179777579891,0.5756536734875295,-0.3663250649466094,0.2616607606761499,-0.3663250649466094,0.8896465862989091,-1.622296716192128,0.2616607606761499,-1.622296716192128,-0.0523321521352297,0.8896465862989091,-0.6803179777579891,0.2616607606761499,-0.3663250649466094,1.5176324119216684,0.2616607606761499,0.5756536734875295,0.8896465862989091,-1.622296716192128,1.2036394991102888,-1.9362896290035077,-1.9362896290035077,0.8896465862989091,-0.3663250649466094,-1.622296716192128,1.2036394991102888,4,3.182511941168546e-05,0.0019073792802320902,3.524729998126023e-16,0.023351538373555664,0.9747092572267998,5.277361156790129,-0.9045319102945336
Nicolò Barella,Inter,ITA,172,68,26,161,169,0.328033874339429,0.0328033874339427,0.6232643612449152,-2.0338100209044607,0.9184948481504014,0.0328033874339427,0.9184948481504014,-0.5576575863770297,1.80418630886686,0.0328033874339427,0.9184948481504014,-0.2624270994715434,-1.148118560188002,0.0328033874339427,1.508955821961374,0.0328033874339427,0.328033874339429,0.6232643612449152,-0.2624270994715434,0.9184948481504014,0.6232643612449152,1.2137253350558876,-0.5576575863770297,-0.5576575863770297,0.0328033874339427,-0.5576575863770297,0.328033874339429,0.0328033874339427,-2.329040507809947,0.0328033874339427,-2.9195014816209195,-0.8528880732825158,0.6232643612449152,-0.8528880732825158,0.6232643612449152,0.328033874339429,3,0.20595358295333685,0.006039474149399691,0.001966720073615832,0.7806304186634994,0.005409804160148652,0.07517104446924415,-1.8801989638904562
Luka Modrić,R. Madrid,CRO,172,67,37,171,180,-0.7788281888132318,-0.2396394427117637,-0.2396394427117637,-1.857205681016168,-0.2396394427117637,-0.7788281888132318,-0.7788281888132318,-1.587611307965434,-0.5092338157624977,0.8387380494911725,0.0299549303389703,1.1083324225419064,1.1083324225419064,1.1083324225419064,0.8387380494911725,-0.2396394427117637,0.0299549303389703,0.2995493033897043,0.2995493033897043,0.8387380494911725,1.3779267955926406,0.2995493033897043,0.5691436764404384,0.5691436764404384,0.8387380494911725,-1.3180169349147,1.6475211686433746,-0.2396394427117637,-1.587611307965434,0.0299549303389703,-1.857205681016168,-1.587611307965434,1.3779267955926406,0.0299549303389703,-0.7788281888132318,1.3779267955926406,1,0.0001748522887378803,0.9991339217776035,9.133993546146888e-15,0.00021906155309609133,0.00047216438055334563,3.658883891818795,4.708690744825674
Declan Rice,Arsenal,ENG,185,80,24,176,182,-0.4818427865792341,-0.4818427865792341,-0.1204606966448086,-0.1204606966448086,1.325067663092893,-0.1204606966448086,0.9636855731584676,-0.1204606966448086,-0.4818427865792341,1.325067663092893,0.2409213932896167,0.9636855731584676,0.2409213932896167,1.325067663092893,0.9636855731584676,-1.5659890563825103,0.6023034832240421,0.6023034832240421,0.9636855731584676,1.6864497530273184,-0.1204606966448086,0.9636855731584676,-0.4818427865792341,-0.4818427865792341,-0.1204606966448086,-1.927371146316936,-0.1204606966448086,-2.2887532362513614,-0.1204606966448086,-1.927371146316936,-1.5659890563825103,0.2409213932896167,0.2409213932896167,-1.204606966448085,0.9636855731584676,0.2409213932896167,2,0.32161900294766177,2.8232592516107972e-05,0.6744170944572803,0.003935670002534294,7.277755746029064e-15,-3.780200122141042,2.4498648167038417
Bruno Fernandes,Man UFC,POR,179,69,28,171,174,-0.3236529250019642,0.1618264625009818,-0.3236529250019642,-1.2946117000078563,1.375524931258347,-0.3236529250019642,1.132785237506874,-1.051872006256383,0.8900455437554009,0.6473058500039279,0.6473058500039279,-0.0809132312504911,-0.3236529250019642,-0.3236529250019642,0.6473058500039279,0.6473058500039279,0.6473058500039279,0.6473058500039279,-1.5373513937593293,0.1618264625009818,0.8900455437554009,0.6473058500039279,0.4045661562524549,0.4045661562524549,-0.8091323125049102,0.1618264625009818,0.6473058500039279,0.4045661562524549,-1.051872006256383,0.4045661562524549,-2.5083101687652216,-2.7510498625166946,0.8900455437554009,1.132785237506874,-1.5373513937593293,0.6473058500039279,4,0.006499377122585738,0.013803571368624302,1.3899592551132126e-09,0.17158560807236256,0.8081114420464681,3.018662622907829,-1.21350040705109
Eduardo Camavinga,R. Madrid,FRA,182,68,20,170,180,0.7587524226766422,0.0758752422676639,0.4173138324721531,-0.9484405283458034,0.7587524226766422,0.7587524226766422,1.7830681932901096,1.1001910128811314,0.4173138324721531,1.1001910128811314,0.4173138324721531,0.0758752422676639,0.0758752422676639,0.0758752422676639,0.4173138324721531,-0.6070019381413143,-0.6070019381413143,0.0758752422676639,0.4173138324721531,0.7587524226766422,-0.2655633479368251,1.4416296030856204,-2.655633479368249,-0.6070019381413143,-0.6070019381413143,-0.9484405283458034,0.4173138324721531,-2.655633479368249,0.0758752422676639,-0.6070019381413143,-0.2655633479368251,0.4173138324721531,0.4173138324721531,-2.31419488916376,0.4173138324721531,0.4173138324721531,2,0.028297178110800212,9.118065289454425e-06,0.9505798082153145,0.021113895592913177,1.5682508248672213e-11,-3.7683208719710417,-0.6971761560485329
Martin Ødegaard,Arsenal,NOR,178,68,24,173,180,-0.2646044314892956,0.5759037626531726,0.2957343646056831,-1.3852820236792531,-0.2646044314892956,-0.2646044314892956,0.2957343646056831,-0.8249432275842743,-1.6654514217267424,1.1362425587481513,-1.1051126256317636,0.5759037626531726,0.2957343646056831,0.8560731607006619,0.5759037626531726,0.5759037626531726,0.0155649665581937,0.8560731607006619,-1.3852820236792531,1.1362425587481513,1.4164119567956406,0.2957343646056831,0.5759037626531726,0.2957343646056831,0.5759037626531726,-0.2646044314892956,1.1362425587481513,0.0155649665581937,-1.6654514217267424,0.8560731607006619,-2.7861290139166996,-1.1051126256317636,0.8560731607006619,0.0155649665581937,-1.3852820236792531,1.1362425587481513,1,0.00015595424659208958,0.5915020276302756,2.1821738287403148e-15,0.004108918986080553,0.4042330991370492,4.537464151876734,2.2996883009376337
